startDice, runs, increaseCount, decreaseCount, refillBool
6,15,0,4,1
8,115,12,18,1
10,148,9,17,1
12,308,26,36,1
6,54,3,7,1
8,45,3,9,1
10,50,5,13,1
12,268,18,28,1
6,26,2,6,1
8,56,1,7,1
10,286,18,26,1
12,365,29,39,1
6,6,0,4,1
8,92,5,11,1
10,89,5,13,1
12,291,15,25,1
6,11,0,4,1
8,37,3,9,1
10,71,10,18,1
12,475,38,48,1
6,37,3,7,1
8,116,12,18,1
10,235,17,25,1
12,705,57,67,1
6,27,1,5,1
8,33,0,6,1
10,133,7,15,1
12,305,22,32,1
6,35,2,6,1
8,51,4,10,1
10,114,7,15,1
12,301,20,30,1
6,29,1,5,1
8,49,3,9,1
10,108,9,17,1
12,323,18,28,1
6,26,2,6,1
8,135,9,15,1
10,172,16,24,1
12,116,8,18,1
6,40,1,5,1
8,149,15,21,1
10,276,27,35,1
12,143,4,14,1
6,19,1,5,1
8,84,6,12,1
10,101,9,17,1
12,220,11,21,1
6,14,1,5,1
8,44,4,10,1
10,159,13,21,1
12,594,37,47,1
6,26,1,5,1
8,33,3,9,1
10,105,9,17,1
12,380,23,33,1
6,26,0,4,1
8,174,17,23,1
10,163,9,17,1
12,441,36,46,1
6,21,2,6,1
8,29,1,7,1
10,232,23,31,1
12,554,50,60,1
6,45,4,8,1
8,42,3,9,1
10,67,2,10,1
12,497,40,50,1
6,88,7,11,1
8,54,5,11,1
10,134,5,13,1
12,210,16,26,1
6,20,1,5,1
8,41,3,9,1
10,92,5,13,1
12,109,7,17,1
6,26,1,5,1
8,272,18,24,1
10,242,22,30,1
12,207,17,27,1
6,15,1,5,1
8,123,9,15,1
10,244,22,30,1
12,477,42,52,1
6,24,1,5,1
8,21,0,6,1
10,154,10,18,1
12,245,13,23,1
6,38,3,7,1
8,233,23,29,1
10,147,10,18,1
12,63,4,14,1
6,16,1,5,1
8,110,8,14,1
10,144,12,20,1
12,182,14,24,1
6,12,0,4,1
8,50,7,13,1
10,85,4,12,1
12,290,19,29,1
6,38,4,8,1
8,26,0,6,1
10,76,4,12,1
12,138,13,23,1
6,17,0,4,1
8,16,0,6,1
10,236,17,25,1
12,291,24,34,1
6,16,0,4,1
8,58,3,9,1
10,96,2,10,1
12,772,67,77,1
6,18,1,5,1
8,23,3,9,1
10,144,13,21,1
12,216,12,22,1
6,24,3,7,1
8,40,1,7,1
10,230,20,28,1
12,291,21,31,1
6,14,1,5,1
8,30,3,9,1
10,114,5,13,1
12,481,43,53,1
6,37,0,4,1
8,172,11,17,1
10,322,29,37,1
12,571,40,50,1
6,32,2,6,1
8,46,4,10,1
10,105,9,17,1
12,127,8,18,1
6,25,3,7,1
8,123,10,16,1
10,75,6,14,1
12,515,45,55,1
6,31,2,6,1
8,77,10,16,1
10,212,18,26,1
12,152,13,23,1
6,21,1,5,1
8,27,2,8,1
10,90,12,20,1
12,603,44,54,1
6,42,3,7,1
8,46,3,9,1
10,105,2,10,1
12,248,29,39,1
6,8,0,4,1
8,39,2,8,1
10,119,11,19,1
12,268,25,35,1
6,38,2,6,1
8,14,0,6,1
10,223,23,31,1
12,298,17,27,1
6,46,5,9,1
8,109,9,15,1
10,103,11,19,1
12,543,43,53,1
6,58,2,6,1
8,50,4,10,1
10,625,54,62,1
12,267,22,32,1
6,18,1,5,1
8,27,1,7,1
10,147,11,19,1
12,169,8,18,1
6,58,4,8,1
8,37,1,7,1
10,117,12,20,1
12,171,7,17,1
6,55,4,8,1
8,174,16,22,1
10,110,11,19,1
12,286,20,30,1
6,75,4,8,1
8,89,6,12,1
10,372,35,43,1
12,205,14,24,1
6,12,1,5,1
8,27,4,10,1
10,52,1,9,1
12,532,42,52,1
6,12,1,5,1
8,153,17,23,1
10,89,6,14,1
12,365,33,43,1
6,22,2,6,1
8,186,19,25,1
10,607,41,49,1
12,205,15,25,1
6,35,2,6,1
8,50,2,8,1
10,148,11,19,1
12,247,16,26,1
6,36,2,6,1
8,47,2,8,1
10,280,18,26,1
12,152,14,24,1
6,30,3,7,1
8,22,2,8,1
10,122,10,18,1
12,277,21,31,1
6,24,0,4,1
8,142,8,14,1
10,261,19,27,1
12,506,45,55,1
6,54,5,9,1
8,202,19,25,1
10,222,15,23,1
12,126,7,17,1
6,24,1,5,1
8,43,1,7,1
10,113,9,17,1
12,256,14,24,1
6,14,0,4,1
8,30,3,9,1
10,120,14,22,1
12,312,16,26,1
6,63,7,11,1
8,88,5,11,1
10,112,10,18,1
12,231,12,22,1
6,45,3,7,1
8,152,11,17,1
10,150,14,22,1
12,383,28,38,1
6,6,1,5,1
8,140,11,17,1
10,186,15,23,1
12,180,12,22,1
6,9,0,4,1
8,89,7,13,1
10,117,6,14,1
12,131,15,25,1
6,27,1,5,1
8,40,2,8,1
10,145,10,18,1
12,288,23,33,1
6,12,0,4,1
8,40,4,10,1
10,59,3,11,1
12,659,48,58,1
6,29,4,8,1
8,85,6,12,1
10,168,14,22,1
12,168,11,21,1
6,17,0,4,1
8,36,1,7,1
10,132,9,17,1
12,371,28,38,1
6,24,1,5,1
8,34,1,7,1
10,210,12,20,1
12,576,41,51,1
6,74,6,10,1
8,68,4,10,1
10,44,2,10,1
12,346,23,33,1
6,29,1,5,1
8,104,9,15,1
10,153,9,17,1
12,239,15,25,1
6,10,1,5,1
8,166,15,21,1
10,119,6,14,1
12,224,24,34,1
6,14,1,5,1
8,82,6,12,1
10,234,15,23,1
12,170,16,26,1
6,19,0,4,1
8,78,3,9,1
10,107,5,13,1
12,382,32,42,1
6,30,2,6,1
8,69,6,12,1
10,183,20,28,1
12,152,10,20,1
6,10,0,4,1
8,27,0,6,1
10,120,8,16,1
12,588,40,50,1
6,45,4,8,1
8,119,9,15,1
10,92,10,18,1
12,260,18,28,1
6,40,4,8,1
8,56,2,8,1
10,178,18,26,1
12,237,12,22,1
6,66,4,8,1
8,17,0,6,1
10,98,8,16,1
12,125,5,15,1
6,26,1,5,1
8,68,5,11,1
10,164,10,18,1
12,440,33,43,1
6,26,2,6,1
8,61,4,10,1
10,78,6,14,1
12,198,13,23,1
6,21,2,6,1
8,59,6,12,1
10,242,26,34,1
12,86,2,12,1
6,11,0,4,1
